Nome,Unità di misura,Contatore usi
acciughe sottolio,Filetto,18
acciughe sottolio a filetti,Unità,1
aceto,lt,3
aceto bianco,lt,5
aceto di mele,lt,6
aceto di vino bianco,lt,6
aceto di vino rosso,ml,1
acqua,ml,22
aglio,Spicchio,12
aglio rosso,g,1
alcol,ml,1
alcol a 95 gradi,lt,1
alcol etilico 90°,ml,1
alloro,Unità,8
amarene,kg,1
amaretti,g,1
aneto fresco,Unità,1
anice in grani,Unità,1
anice semi,Cucchiaio,1
arancia,Unità,1
arancia amare,kg,1
avena in fiocchi,g,1
basilico,Unità,1
basilico fresco,Foglia,2
bicarbonato,Cucchiai,1
burger di manzo,Unità,1
burger di soia,Unità,2
burro,g,3
burro fuso,g,1
cannella,stecca,2
cannella in polvere,Cucchiaino,1
cardamomo,Cucchiaio,3
carota,Unità,1
carote,Unità,1
carta di riso,Foglio,3
casatella,g,3
casatella  DOP ( o altro formaggio morbido),Cucchiai,2
cavolfiore,Unità,1
cedro,Unità,1
cetriolo,Unità,2
chiodi di garofano,Unità,3
ciliegie,kg,2
ciliegie denocciolate,g,1
cioccolato fondente,g,1
cipolla,Unità,3
cipolla bianca,Unità,1
cipolla rossa di tropea,Unità,1
cipolle bionda,g,1
cipolle rossa di tropea,kg,2
cocco essiccato in scaglie,Cucchiai,1
coriandolo,Cucchiai,2
coriandolo semi,g,1
cumino,Cucchiai,1
curcuma,Cucchiaino,1
erba cipollina i fiori,Unità,1
fagiolini,kg,2
farina,g,1
farina 00,g,1
fico maturi,kg,1
finocchio,Unità,1
fragola,kg,1
fragole,g,1
frutta di stagione,g,1
fungo,Unità,1
gelatina in fogli,Unità,1
kiwi,kg,1
lamponi,Unità,1
latte intero,lt,1
limone,kg,6
limone (succo),Unità,1
limone bio la scorza,Unità,1
limone il succo,Unità,6
limone la buccia,Unità,2
limone la scorza grattugiata,Unità,1
limone scorza grattugiata,l,1
limoni,Unità,1
limoni bio,Unità,2
limoni il succo,ml,1
limoni il succo e la buccia,Unità,1
limoni la scorza gratugiata,Unità,1
mandorle,g,1
mandorle sbucciate,g,1
mango,Unità,1
marrone,kg,1
mela,Unità,5
mela  già sbucciate e di tipi diversi,kg,1
mela al netto degli scarti,g,1
mela gala o golden,kg,1
mela golden al netto degli scarti,g,1
mela golden o gala,Unità,1
mela granny smith,Unità,1
mela succo,ml,1
melanzana,g,2
melanzana lunghe,kg,1
melanzana perline,g,1
menta,Mazzetto,3
menta glaciale fresca,Foglia,1
miele,Cucchiai,2
miele di acacia,Cucchiai,1
mirtillo secchi,g,1
nespola sbucciate e denocciolate,g,1
noce moscata in polvere,Pizzico,1
noce moscata macinata fresca,Unità,1
noci gherigli,g,1
olio,Unità,1
olio di girasole,g,3
olio di semi,Unità,1
olio di semi di arachide,Unità,1
olio di semi di mais,Unità,1
olio evo,Unità,1
olio extravergine di oliva,ml,13
olive,g,1
origano,Rametto,3
origano secco,Unità,1
panbrioche,Fette,1
paprika dolce,Cucchiaino,1
pepe di sichuan,Pizzico,1
pepe di sichuan bacche,Cucchiaino,1
pepe nero,Cucchiai,3
pepe nero in grani,Unità,2
pepe nero macinato,Unità,3
pepe rosa,Unità,2
peperoncino,Unità,9
peperoncino piccante fresco,g,1
peperoncino secchi,Unità,1
peperoncino secco,Unità,1
peperone giallo,Unità,1
peperone rosso,Unità,2
peperone rosso dolce essiccato,g,1
peperone verde,Unità,1
pera al netto degli scarti,g,1
pera williams rosse,Unità,1
pesca,kg,3
pinoli,g,1
pomodori maturo,kg,1
pomodori passata,Unità,1
pomodori san marzano maturi,g,1
pomodoro ciliegino o datterino,kg,1
pomodoro maturi,kg,1
pomodoro san marzano,kg,1
pomodoro verde,kg,1
porcino freschi,kg,1
prezzemolo,Unità,2
prugna denocciolate,kg,1
prugne,kg,1
rabarbaro fresco,g,1
rosmarino,Rametto,2
rum scuro,Unità,1
sale,Pizzico,3
sale fino,g,19
sale grosso,Cucchiai,7
sale integrale,g,1
salsa di soia,ml,1
salvia,g,1
sciroppo d'acero,Cucchiai,1
sedano,Costa,1
semi di chia,Cucchiai,2
semi di finocchio,Cucchiaino,1
semi di senape,Cucchiaino,1
senape semi,Cucchiai,1
succo di frutta a scelta,ml,1
tabasco,goccia,1
timo,Unità,2
timo limonato,g,1
tuorli d'uovo,Unità,2
uova,Unità,3
uovo,Unità,2
uva bianca,kg,1
uvetta,g,2
vaniglia,Baccello,4
vaniglia bacca,Unità,1
vaniglia bourbon,bacca,1
vaniglia estratto liquido,Cucchiaino,1
verbena,g,1
vino bianco,lt,2
vino rosso,ml,1
zafferano,Unità,1
zenzero,Unità,2
zenzero fresco,Unità,1
zenzero fresco grattugiato,Cucchiaio,1
zenzero in polvere,Cucchiaino,3
zucca,kg,1
zucchero,g,8
zucchero a velo,Cucchiai,2
zucchero bianco,Cucchiai,1
zucchero bianco semolato,g,1
zucchero bucaneve,Unità,1
zucchero di canan,g,1
zucchero di canna,g,5
zucchero di canna chiaro,g,1
zucchero di canna integrale,Cucchiai,1
zucchero di canna scuro,g,1
zucchero semolato,g,1
zucchero semolato bianco,Bicchiere,27
zucchina,kg,1
zuppa  toscana con farro,g,1
